title,rating,Number of ratings,Year Released,Run Time
1. The Shawshank Redemption,9.3,(3.1M),1994,2h 22m
2. The Godfather,9.2,(2.2M),1972,2h 55m
3. The Dark Knight,9.1,(3.1M),2008,2h 32m
4. Schindler's List,9,(1.6M),1993,3h 15m
5. 12 Angry Men,9,(965K),1957,1h 36m
6. The Lord of the Rings: The Return of the King,9,(2.1M),2003,3h 21m
7. The Godfather Part II,9,(1.5M),1974,3h 22m
8. The Lord of the Rings: The Fellowship of the Ring,8.9,(2.2M),2001,2h 58m
9. Pulp Fiction,8.8,(2.4M),1994,2h 34m
10. Inception,8.8,(2.8M),2010,2h 28m
11. Fight Club,8.8,(2.6M),1999,2h 19m
12. Forrest Gump,8.8,(2.5M),1994,2h 22m
13. The Lord of the Rings: The Two Towers,8.8,(1.9M),2002,2h 59m
"14. The Good, the Bad and the Ugly",8.8,(879K),1966,2h 58m
15. Interstellar,8.7,(2.4M),2014,2h 49m
16. Goodfellas,8.7,(1.4M),1990,2h 25m
17. The Matrix,8.7,(2.2M),1999,2h 16m
18. 12th Fail,8.7,(165K),2023,2h 27m
19. Star Wars: Episode V - The Empire Strikes Back,8.7,(1.5M),1980,2h 4m
20. It's a Wonderful Life,8.6,(546K),1946,2h 10m
21. The Silence of the Lambs,8.6,(1.7M),1991,1h 58m
22. Se7en,8.6,(2M),1995,2h 7m
23. The Green Mile,8.6,(1.5M),1999,3h 9m
24. Terminator 2: Judgment Day,8.6,(1.3M),1991,2h 17m
25. Saving Private Ryan,8.6,(1.6M),1998,2h 49m
26. City of God,8.6,(860K),2002,2h 10m
27. One Flew Over the Cuckoo's Nest,8.6,(1.1M),1975,2h 13m
28. Life Is Beautiful,8.6,(801K),1997,1h 56m
29. Star Wars: Episode IV - A New Hope,8.6,(1.5M),1977,2h 1m
30. Spirited Away,8.6,(947K),2001,2h 4m
31. Seven Samurai,8.6,(397K),1954,3h 27m
32. Harakiri,8.6,(88K),1962,2h 13m
33. Parasite,8.5,(1.1M),2019,2h 12m
34. The Departed,8.5,(1.5M),2006,2h 31m
35. The Prestige,8.5,(1.6M),2006,2h 10m
36. Whiplash,8.5,(1.1M),2014,1h 46m
37. Django Unchained,8.5,(1.8M),2012,2h 45m
38. Gladiator,8.5,(1.8M),2000,2h 35m
39. Back to the Future,8.5,(1.4M),1985,1h 56m
40. The Usual Suspects,8.5,(1.2M),1995,1h 46m
41. Léon: The Professional,8.5,(1.3M),1994,1h 50m
42. Alien,8.5,(1M),1979,1h 57m
43. Spider-Man: Across the Spider-Verse,8.5,(498K),2023,2h 20m
44. The Intouchables,8.5,(1M),2011,1h 52m
45. The Pianist,8.5,(997K),2002,2h 30m
46. Psycho,8.5,(776K),1960,1h 49m
47. American History X,8.5,(1.3M),1998,1h 59m
48. Once Upon a Time in the West,8.5,(380K),1968,2h 46m
49. Grave of the Fireflies,8.5,(373K),1988,1h 28m
50. The Lion King,8.5,(1.2M),1994,1h 28m
